Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
129600,226.60158,159.83081,159.83081,161.84401,21.900223
130500,249.41212,166.0491,165.14368,165.14368,23.064388
131400,263.75052,174.17967,169.18132,169.18132,24.009056
132300,264.64438,179.2548,169.29707,169.29707,24.200825
133200,252.03163,177.90578,163.60825,163.60825,23.417131
134100,229.25133,170.34294,153.39076,153.39076,21.846674
135000,199.84729,157.22989,139.89496,139.89496,19.69692
135900,152.34764,130.20589,118.30633,118.30633,16.056686
136800,95.11092,90.43616,87.94133,87.94133,11.17824
137700,58.993305,57.774334,56.77406,56.77406,7.123168
138600,36.878937,36.878937,36.878937,36.878937,4.5623426
139500,26.686138,26.686138,26.686138,26.686138,3.3013778
140400,18.490204,18.490204,18.490204,18.490204,2.287448
141300,12.4184675,12.4184675,12.4184675,12.4184675,1.5363052
142200,8.598576,8.598576,8.598576,8.598576,1.0637413
143100,5.7625093,5.7625093,5.7625093,5.7625093,0.71288776
144000,2.9670587,2.9670587,2.9670587,2.9670587,0.36705878
144900,0.8405224,0.8405224,0.8405224,0.8405224,0.10398216
145800,0,0,0,0,0
146700,0,0,0,0,0
147600,0,0,0,0,0
148500,0,0,0,0,0
149400,0,0,0,0,0
150300,0,0,0,0,0
151200,0,0,0,0,0
152100,0,0,0,0,0
153000,0,0,0,0,0
153900,0,0,0,0,0
154800,0,0,0,0,0
155700,0,0,0,0,0
156600,0,0,0,0,0
157500,0,0,0,0,0
158400,0,0,0,0,0
159300,0,0,0,0,0
160200,0,0,0,0,0
161100,0,0,0,0,0
162000,0,0,0,0,0
162900,0,0,0,0,0
163800,0,0,0,0,0
164700,0,0,0,0,0
165600,0,0,0,0,0
166500,0,0,0,0,0
167400,0,0,0,0,0
168300,0,0,0,0,0
169200,0,0,0,0,0
170100,0,0,0,0,0
171000,0,0,0,0,0
171900,0,0,0,0,0
172800,0,0,0,0,0
173700,0,0,0,0,0
174600,0,0,0,0,0
175500,0,0,0,0,0
176400,0,0,0,0,0
177300,0,0,0,0,0
178200,0,0,0,0,0
179100,0,0,0,0,0
180000,0,0,0,0,0
180900,0,0,0,0,0
181800,0,0,0,0,0
182700,0,0,0,0,0
183600,0,0,0,0,0
184500,0,0,0,0,0
185400,0,0,0,0,0
186300,0,0,0,0,0
187200,0,0,0,0,0
188100,0,0,0,0,0
189000,0,0,0,0,0
189900,0,0,0,0,0
190800,0,0,0,0,0
191700,0,0,0,0,0
192600,0,0,0,0,0
193500,0,0,0,0,0
194400,0,0,0,0,0
195300,0,0,0,0,0
196200,0,0,0,0,0
197100,0,0,0,0,0
198000,0,0,0,0,0
198900,0,0,0,0,0
199800,0,0,0,0,0
200700,0,0,0,0,0
201600,0,0,0,0,0
202500,0,0,0,0,0
203400,0,0,0,0,0
204300,5.389419,5.389419,5.389419,5.389419,0.66673225
205200,18.808334,18.808334,18.808334,18.808334,2.3268042
206100,35.9773,35.9773,35.9773,35.9773,4.4508
207000,52.42578,52.42578,52.42578,52.42578,6.4856634
207900,67.7592,68.0745,68.0745,67.86351,8.405311
208800,86.46113,84.738075,84.738075,85.753975,10.567771
209700,111.42788,100.535805,100.535805,106.13333,12.947407
210600,133.69531,114.9208,114.9208,123.209,15.053997
211500,146.15317,124.38148,124.38148,132.47345,16.311018
212400,146.19826,127.55028,127.55028,133.22014,16.531513
213300,138.97089,126.32898,126.32898,129.33943,16.112421
214200,128.59627,122.68887,122.68887,123.71397,15.392412
215100,110.56501,111.26904,111.26904,111.191696,13.7410755
216000,90.78935,90.78935,90.78935,90.78935,11.231672
216900,71.729996,71.729996,71.729996,71.729996,8.873814
217800,63.22196,63.22196,63.22196,63.22196,7.8212733
218700,67.17071,67.17071,67.17071,67.17071,8.309778
219600,76.35522,76.35522,76.35522,76.35522,9.446007
220500,86.21457,86.21457,86.21457,86.21457,10.66572
221400,92.12561,92.12561,92.12561,92.12561,11.396983
222300,93.74946,94.09607,94.334114,94.334114,11.644755
223200,95.71313,95.36748,95.050644,95.050644,11.78913
224100,99.24897,96.369995,92.818245,92.818245,11.791406
225000,98.08179,93.99809,87.04648,87.04648,11.324933
225900,81.72734,79.577995,74.267365,74.267365,9.582683
226800,54.566967,54.67933,55.12598,55.12598,6.7886057
227700,35.23541,35.23541,35.23541,35.23541,4.3590198
228600,21.692522,21.692522,21.692522,21.692522,2.683611
229500,13.62322,13.62322,13.62322,13.62322,1.6853468
230400,6.6678658,6.6678658,6.6678658,6.6678658,0.8248906
231300,1.8082619,1.8082619,1.8082619,1.8082619,0.22370249
232200,0,0,0,0,0
233100,0,0,0,0,0
234000,0,0,0,0,0
234900,0,0,0,0,0
235800,0,0,0,0,0
236700,0,0,0,0,0
237600,0,0,0,0,0
238500,0,0,0,0,0
239400,0,0,0,0,0
240300,0,0,0,0,0
241200,0,0,0,0,0
242100,0,0,0,0,0
243000,0,0,0,0,0
243900,0,0,0,0,0
244800,0,0,0,0,0
245700,0,0,0,0,0
246600,0,0,0,0,0
247500,0,0,0,0,0
248400,0,0,0,0,0
249300,0,0,0,0,0
250200,0,0,0,0,0
251100,0,0,0,0,0
252000,0,0,0,0,0
252900,0,0,0,0,0
253800,0,0,0,0,0
254700,0,0,0,0,0
255600,0,0,0,0,0
256500,0,0,0,0,0
257400,0,0,0,0,0
258300,0,0,0,0,0
259200,0,0,0,0,0
260100,0,0,0,0,0
261000,0,0,0,0,0
261900,0,0,0,0,0
262800,0,0,0,0,0
263700,0,0,0,0,0
264600,0,0,0,0,0
265500,0,0,0,0,0
266400,0,0,0,0,0
267300,0,0,0,0,0
268200,0,0,0,0,0
269100,0,0,0,0,0
270000,0,0,0,0,0
270900,0,0,0,0,0
271800,0,0,0,0,0
272700,0,0,0,0,0
273600,0,0,0,0,0
274500,0,0,0,0,0
275400,0,0,0,0,0
276300,0,0,0,0,0
277200,0,0,0,0,0
278100,0,0,0,0,0
279000,0,0,0,0,0
279900,0,0,0,0,0
280800,0,0,0,0,0
281700,0,0,0,0,0
282600,0,0,0,0,0
283500,0,0,0,0,0
284400,0,0,0,0,0
285300,0,0,0,0,0
286200,0,0,0,0,0
287100,0.9305199,0.9305199,0.9305199,0.9305199,0.11511586
288000,3.5666938,3.5666938,3.5666938,3.5666938,0.44124046
288900,7.689515,7.689515,7.689515,7.689515,0.95128024
289800,13.030953,13.030953,13.030953,13.030953,1.6120768
290700,19.492811,19.492811,19.492811,19.492811,2.4114819
291600,26.850935,26.850935,26.850935,26.850935,3.3217652
292500,34.377098,34.377098,34.377098,34.377098,4.2528367
293400,41.334736,41.334736,41.334736,41.334736,5.1135755
294300,47.516144,47.516144,47.516144,47.516144,5.878286
295200,53.218956,53.218956,53.218956,53.218956,6.5837884
296100,58.461235,58.461235,58.461235,58.461235,7.232318
297000,63.261078,63.261078,63.261078,63.261078,7.8261127
297900,65.31436,65.31436,65.31436,65.31436,8.080127
298800,64.15082,64.15082,64.15082,64.15082,7.936184
299700,62.535503,62.535503,62.535503,62.535503,7.736351
300600,63.222744,63.222744,63.222744,63.222744,7.82137
301500,69.94989,69.94989,69.94989,69.94989,8.653595
302400,81.19592,81.19592,81.19592,81.19592,10.044857
303300,91.790375,91.790375,91.790375,91.790375,11.35551
304200,96.49635,96.49635,96.49635,96.49635,11.937694
305100,95.06774,95.06774,95.06774,95.06774,11.760958
306000,91.75777,91.75777,91.75777,91.75777,11.351476
306900,88.0494,88.0494,88.0494,88.0494,10.892709
307800,85.42351,85.42351,85.42351,85.42351,10.567856
308700,85.21669,85.21669,85.21669,85.21669,10.542271
309600,86.3295,86.42715,86.51613,86.51613,10.694502
