Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
127800,89.82964,89.82964,89.82964,89.82964,11.112946
128700,98.871185,98.871185,98.871185,98.871185,12.231487
129600,111.02721,111.7418,111.7418,111.70973,13.800635
130500,131.2139,125.18363,125.07377,125.07377,15.666342
131400,154.35634,138.37561,136.97165,136.97165,17.526037
132300,278.14063,158.29027,150.25792,150.25792,22.792166
133200,560.2046,205.30269,166.3493,166.3493,33.96513
134100,901.28754,291.2037,179.912,179.912,48.00975
135000,1144.9794,391.4977,183.59088,183.59088,58.87605
135900,1303.5968,502.7006,177.54846,177.54846,66.847244
136800,1420.4176,629.1955,164.6827,164.6827,73.57665
137700,1494.8025,765.46466,147.51956,147.51956,79.03009
138600,1567.3539,929.43384,131.14716,131.14716,85.332436
139500,1294.0029,884.2326,106.9487,106.9487,73.9835
140400,785.7304,617.9482,82.240364,82.240364,48.499775
141300,269.16058,242.19814,56.466175,56.466175,19.307972
142200,42.144875,42.118084,36.974983,36.974983,4.893183
143100,22.18309,22.176641,22.244562,22.244562,2.7479029
144000,10.392765,10.392765,10.392765,10.392765,1.2857028
144900,2.7030609,2.7030609,2.7030609,2.7030609,0.33439928
145800,0,0,0,0,0
146700,0,0,0,0,0
147600,0,0,0,0,0
148500,0,0,0,0,0
149400,0,0,0,0,0
150300,0,0,0,0,0
151200,0,0,0,0,0
152100,0,0,0,0,0
153000,0,0,0,0,0
153900,0,0,0,0,0
154800,0,0,0,0,0
155700,0,0,0,0,0
156600,0,0,0,0,0
157500,0,0,0,0,0
158400,0,0,0,0,0
159300,0,0,0,0,0
160200,0,0,0,0,0
161100,0,0,0,0,0
162000,0,0,0,0,0
162900,0,0,0,0,0
163800,0,0,0,0,0
164700,0,0,0,0,0
165600,0,0,0,0,0
166500,0,0,0,0,0
167400,0,0,0,0,0
168300,0,0,0,0,0
169200,0,0,0,0,0
170100,0,0,0,0,0
171000,0,0,0,0,0
171900,0,0,0,0,0
172800,0,0,0,0,0
173700,0,0,0,0,0
174600,0,0,0,0,0
175500,0,0,0,0,0
176400,0,0,0,0,0
