Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
712800,0,0,264.35,0
716400,0,0,264.25,0
720000,0,4438.446,264.15,0
723600,0,9146.874,264.05,44.45529
727200,0,8326.198,265.05,148.0351
730800,0,7011.2,266.85,208.71794
734400,0,5978.3525,268.15,234.11887
738000,0,5227.24,270.05,216.64502
741600,0,4440.1577,270.35,172.8832
745200,0,3579.4412,270.85,61.144577
748800,0,4304.0107,270.35,0
752400,0,4647.2935,269.45,0
756000,0,4981.7197,268.65,0
759600,0,6092.1055,268.05,0
763200,0,7068.09,267.65,0
766800,0,7508.753,267.35,0
770400,0,410.04196,266.95,0
774000,0,0,266.55,0
777600,0,0,266.25,0
781200,0,0,266.15,0
784800,0,0,265.85,0
788400,0,0,265.85,0
792000,0,0,265.75,0
795600,0,0,265.55,0
799200,0,0,265.95,0
802800,0,0,266.55,0
806400,0,3685.524,266.65,0.84
810000,0,8046.943,267.05,54.56625
813600,0,7160.629,267.65,153.24454
817200,0,6072.931,269.55,200.12903
820800,0,5209.2813,270.65,230.2429
824400,0,4525.0747,271.85,195.56534
828000,0,4226.236,271.85,130.5911
831600,0,4073.9663,272.15,57.71477
835200,0,4324.131,271.45,3.1060605
838800,0,4484.4272,270.85,0
842400,0,4692.003,270.45,0
846000,0,5730.914,269.75,0
849600,0,6676.5645,269.45,0
853200,0,7094.91,269.15,0
856800,0,0,268.85,0
860400,0,0,268.35,0
864000,0,0,268.15,0
867600,0,0,268.25,0
871200,0,0,268.15,0
874800,0,0,268.05,0
878400,0,0,267.95,0
882000,0,0,267.95,0
885600,0,0,267.75,0
889200,0,0,267.75,0
892800,0,3297.7073,267.65,0.5290698
896400,0,7512.2427,267.85,54.629017
900000,0,6454.6235,269.25,157.02048
903600,0,5111.873,271.55,216.38095
907200,0,4018.6743,273.55,236.27083
910800,0,3225.8428,274.95,222.0814
914400,0,2501.2285,275.55,168.81985
918000,0,2022.3,276.15,80.752754
921600,0,2589.384,275.25,8.515625
925200,0,2943.25,274.45,0
928800,0,3212.838,273.85,0
932400,0,4160.9604,274.25,0
936000,0,4968.026,274.65,0
939600,0,5264.844,274.95,0
943200,0,0,275.25,0
946800,0,0,274.55,0
950400,0,0,274.35,0
954000,0,0,274.65,0
957600,0,0,274.75,0
961200,0,0,274.95,0
964800,0,0,275.15,0
968400,0,0,275.15,0
972000,0,0,275.05,0
975600,0,0,275.15,0
979200,0,1548.1837,275.15,0.8114754
982800,0,4825.1255,275.05,43.580418
986400,0,4532.1865,275.35,107.53068
990000,0,4085.6067,275.55,154.52744
993600,0,3363.2722,275.75,184.19423
997200,0,2891.3918,275.45,194.91827
1000800,0,2279.2874,275.85,144.59624
1004400,0,2464.859,276.75,38.2939
1008000,0,2628.106,275.85,5.5473685
1011600,0,2687.1072,275.75,0
1015200,0,2741.428,275.75,0
1018800,0,3678.927,275.35,0
1022400,0,4644.0464,275.15,0
1026000,0,5064.175,275.45,0
1029600,0,0,275.45,0
1033200,0,0,275.15,0
1036800,0,0,275.15,0
1040400,0,0,275.05,0
1044000,0,0,274.85,0
1047600,0,0,274.85,0
1051200,0,0,274.55,0
1054800,0,0,274.55,0
1058400,0,0,274.25,0
1062000,0,0,273.85,0
1065600,0,3165.5078,273.45,0.5153061
1069200,0,6814.9897,273.35,25.889694
1072800,0,6539.043,273.25,51.459583
1076400,0,6074.8823,273.25,49.53983
1080000,0,5773.301,273.55,46.258087
1083600,0,5714.354,273.85,36.102207
1087200,0,5637.884,273.95,23.056723
1090800,0,5262.2905,273.65,12.951299
1094400,0,4946.022,273.35,2.2272727
1098000,0,4857.345,273.25,0
1101600,0,5026.221,272.95,0
1105200,0,5158.474,272.85,0
1108800,0,5080.7334,272.85,0
1112400,0,5939.236,272.85,0
1116000,0,0,272.65,0
1119600,0,0,272.25,0
1123200,0,0,271.95,0
1126800,0,0,271.55,0
1130400,0,0,271.85,0
1134000,0,0,271.75,0
1137600,0,0,271.35,0
1141200,0,0,271.25,0
1144800,0,0,270.95,0
1148400,0,0,270.75,0
1152000,0,4045.3157,270.45,0.21283785
1155600,0,7867.789,270.35,58.37858
1159200,0,6284.5166,270.75,166.74191
1162800,0,4695.5596,272.35,238.93452
1166400,0,3511.1443,273.05,273.72937
1170000,0,2678.4443,273.85,261.70483
1173600,0,2009.6193,273.95,199.44514
1177200,0,1542.914,274.15,100.13705
1180800,0,2299.018,273.35,12.715754
1184400,0,2843.63,272.05,0
1188000,0,3218.587,271.65,0
1191600,0,3456.8362,271.15,0
1195200,0,3546.686,270.85,0
1198800,0,4598.405,270.45,0
1202400,0,0,269.95,0
1206000,0,0,269.35,0
1209600,0,0,268.65,0
1213200,0,0,268.05,0
1216800,0,0,267.55,0
1220400,0,0,267.15,0
1224000,0,0,266.95,0
1227600,0,0,266.65,0
1231200,0,0,266.65,0
1234800,0,0,266.45,0
1238400,0,2819.812,266.45,1.2638888
1242000,0,6764.278,266.65,63.73611
1245600,0,5688.5767,267.75,168.82954
1249200,0,4412.8438,269.15,237.76376
1252800,0,3428.6392,270.15,270.09418
1256400,0,2689.5981,271.45,256.74448
1260000,0,1968.6687,271.75,196.44669
1263600,0,1551.7917,271.65,99.80625
1267200,0,2306.6145,271.25,13.315068
1270800,0,2828.992,270.05,0
1274400,0,3248.4607,269.75,0
1278000,0,4415.8906,268.95,0
1281600,0,5506.101,268.25,0
1285200,0,6106.1284,267.45,0
1288800,0,0,267.15,0
1292400,0,0,266.75,0
1296000,0,0,266.15,0
1299600,0,0,265.75,0
1303200,0,0,265.55,0
1306800,0,0,265.65,0
1310400,0,0,265.55,0
1314000,0,0,265.05,0
1317600,0,0,265.15,0
1321200,0,0,265.05,0
1324800,0,3186.899,264.85,1.6193181
1328400,0,7310.8677,265.35,64.54871
1332000,0,6253.823,267.05,166.28197
1335600,0,4904.0083,268.85,233.9892
1339200,0,3829.6218,270.45,267.49237
1342800,0,3019.3403,271.55,255.87749
1346400,0,2303.3992,271.95,196.3817
1350000,0,1831.0752,272.05,101.50007
1353600,0,2549.5667,271.45,14.309211
1357200,0,3044.152,270.55,0
1360800,0,3398.0115,270.45,0
1364400,0,4482.7163,269.95,0
1368000,0,5537.074,269.15,0
1371600,0,6107.146,268.45,0
1375200,0,0,267.55,0
1378800,0,0,267.05,0
1382400,0,0,266.65,0
1386000,0,0,266.45,0
1389600,0,0,266.25,0
1393200,0,0,266.15,0
1396800,0,0,266.35,0
1400400,0,0,266.25,0
1404000,0,0,266.25,0
1407600,0,0,266.25,0
1411200,0,3056.9375,266.25,2.0797873
1414800,0,7117.8413,266.65,68.31655
1418400,0,6116.2163,268.15,172.25366
1422000,0,4774.8975,269.95,241.54495
1425600,0,3658.8982,271.45,282.44208
1429200,0,2809.1426,273.45,238.81357
1432800,0,2408.9229,273.65,169.61192
1436400,0,2196.959,273.25,78.645836
1440000,0,2800.7756,272.55,5.2916665
1443600,0,3087.5664,272.35,0
1447200,0,3349.426,271.65,0
1450800,0,4363.3667,271.85,0
1454400,0,5288.937,271.45,0
1458000,0,5741.7813,271.15,0
1461600,0,0,271.15,0
1465200,0,0,271.25,0
1468800,0,0,271.25,0
1472400,0,0,271.25,0
1476000,0,0,271.25,0
1479600,0,0,271.35,0
1483200,0,0,271.45,0
1486800,0,0,271.65,0
1490400,0,0,271.85,0
1494000,0,0,272.05,0
1497600,0,1984.0864,272.25,3.8333333
1501200,0,5610.8354,272.25,29.753624
1504800,0,6132.346,271.75,43.736214
1508400,0,6085.3354,271.25,44.52683
1512000,0,5869.4575,271.35,42.54286
1515600,0,5801.6514,271.05,35.32143
1519200,0,5818.5454,270.45,24
1522800,0,5625.8623,269.75,12.3626375
1526400,0,5384.9272,269.75,2.9230769
1530000,0,5230.598,269.85,0
1533600,0,5264.3164,269.85,0
