Time,sFH_FMU.E_to_grid,sFH_FMU.Q_DHW,sFH_FMU.Q_err_DHW,sFH_FMU.tot_vio_Kh,sFH_FMU.rev_elec,sFH_FMU.costs_elec,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.table_HT_NT.y[1],sFH_FMU.ts_T_inside_max,sFH_FMU.ts_T_inside_min,sFH_FMU.TDem_DHW,sFH_FMU.mFlow_DHW,sFH_FMU.dem_e_mob,sFH_FMU.dem_elec,sFH_FMU.price_el,sFH_FMU.Electricity.P_el_dom,sFH_FMU.outputs.outputsDist.t_DHW,sFH_FMU.outputs.outputsDist.t_TES,sFH_FMU.outputs.outputsDist.ch_TES,sFH_FMU.outputs.outputsDist.ch_DHW,sFH_FMU.outputs.outputsGen.power_HP,sFH_FMU.outputs.outputsGen.heat_rod,sFH_FMU.outputs.outputsGen.heat_HP,sFH_FMU.outputs.outputsGen.power_rod,sFH_FMU.outputs.outputsGen.T_supply,sFH_FMU.outputs.outputsGen.T_return,sFH_FMU.outputs.outputsDem.T_Air,sFH_FMU.outputs.outputsDem.dch_DHW,sFH_FMU.outputs.outputsDem.dT_vio,sFH_FMU.outputs.outputsTra.T_return_UFH,sFH_FMU.outputs.outputsTra.T_supply_UFH,sFH_FMU.outputs.outputsTra.Q_conv_UFH,sFH_FMU.outputs.outputsTra.Q_rad_UFH,sFH_FMU.outputs.outputsTra.dch_TES,sFH_FMU.outputs.outputsTra.T_panel_heating1,sFH_FMU.outputs.outputsElec.power_use_PV,sFH_FMU.outputs.outputsElec.power_to_grid_PV,sFH_FMU.outputs.outputsElec.power_to_BAT_PV,sFH_FMU.outputs.outputsElec.power_use_BAT,sFH_FMU.outputs.outputsElec.power_to_grid_BAT,sFH_FMU.outputs.outputsElec.power_to_BAT_from_grid,sFH_FMU.outputs.outputsElec.ch_BAT,sFH_FMU.outputs.outputsElec.dch_BAT,sFH_FMU.outputs.outputsElec.soc_BAT,sFH_FMU.outputs.outputsElec.power_to_grid,sFH_FMU.outputs.outputsElec.power_from_grid,sFH_FMU.outputs.outputsElec.res_elec
9900,0,0,0,0.0631675,0,0.4045288,0.09121632,0.316,291.65,291.15,283.15,0,0,101.66774,0.000346,101.66774,331.15967,292.03952,1908.1709,0,1117.3405,0,2100,0,334.59183,332.42007,290.9834,0,0.16660438,291.8563,292.16153,261.21042,256.098,423.4473,291.5071,0,0,0,0,0,7.263441e-05,0,0,0.19993648,0,1219.0082,1219.0082
10800,0,0,0,0.11129654,0,0.43236202,0.09594387,0.316,291.65,291.15,283.15,0,0,205.76218,0.000346,205.76218,332.47998,291.77902,1908.7131,0,1119.9281,0,2100,0,335.9178,333.74542,290.9333,0,0.2167133,291.63797,291.87277,213.77306,194.84055,325.71643,291.3619,0,0,0,0,0,7.263441e-05,0,0,0.19992954,0,1325.6903,1325.6903
11700,0,0,0,0.1707529,0,0.46417278,0.09594387,0.316,291.65,291.15,283.15,0,0,221.98691,0.000346,221.98691,333.7996,291.57806,1909.077,0,1120.994,0,2100,0,337.24066,335.0679,290.8921,0,0.25790396,291.46878,291.65048,177.5678,148.72664,252.03937,291.2481,0,0,0,0,0,7.263441e-05,0,0,0.19992259,0,1342.981,1342.981
12600,0,0,0,0.19460028,0,0.5135099,0.09594387,0.316,291.65,291.15,283.15,0,0,217.75328,0.000346,217.75328,333.9964,296.57416,6649.415,0,2121.7336,0,7000,0,303.1779,295.61002,291.48715,0,0,296.39996,298.67746,1367.6847,1604.6129,3159.258,294.22937,0,0,0,0,0,7.263441e-05,0,0,0.19991565,0,2339.487,2339.487
13500,0,0,0,0.19462195,0,0.5714602,0.09594387,0.316,291.65,291.15,283.15,0,0,137.22528,0.000346,137.22528,333.9631,299.46136,6817.813,0,2258.7896,0,7000,0,305.08923,297.32974,291.49664,0,0,293.28848,296.85883,677.2482,912.78796,0,292.85452,0,0,0,0,0,7.263441e-05,0,0,0.1999087,0,2396.0146,2396.0146
14400,0,0,0,0.19671752,0,0.6306846,0.07950298,0.316,291.65,291.15,283.15,0,0,96.21907,0.000346,96.21907,333.9298,302.029,6639.9795,0,2420.1758,0,7000,0,307.33365,299.77655,291.67828,0,0.028276658,294.09305,299.28583,1194.0375,1515.1876,0,294.07233,0,0,0,0,0,7.263441e-05,0,0,0.19990176,0,2516.395,2516.395
15300,0,0,0,0.1985413,0,0.6824824,0.07950298,0.316,291.65,291.15,283.15,0,0,61.464424,0.000346,61.464424,333.89658,304.55603,6633.5806,0,2568.108,0,7000,0,309.479,301.92917,291.7589,0,0.108896285,295.13525,301.9282,1927.9489,2301.8965,0,295.62445,0,0,0,0,0,7.263441e-05,0,0,0.19989483,0,2629.5723,2629.5723
16200,0,0,0,0.2031579,0,0.73438436,0.07950298,0.316,291.65,291.15,283.15,0,0,60.985165,0.000346,60.985165,333.86337,306.8792,6687.867,0,2601.6267,0,6756.8604,0,311.3747,303.76306,291.62494,0,0,303.09872,309.63766,3007.448,3362.6729,9070.545,297.6549,0,0,0,0,0,7.263441e-05,0,0,0.19988789,0,2662.6118,2662.6118
17100,0,0,0,0.21366541,0,0.77713984,0.07950298,0.316,291.65,291.15,283.15,0,0,61.687206,0.000346,61.687206,333.83017,309.31464,5430.825,0,1879.552,0,4793.3687,0,312.1058,305.92487,291.27045,0,0,302.08087,311.65753,2238.2788,2399.2197,13284.336,295.7582,0,0,0,0,0,7.263441e-05,0,0,0.19988094,0,1941.2391,1941.2391
18000,0,0,0,0.2265321,0,0.81167036,0.083787315,0.316,291.65,291.15,283.15,0,0,60.470894,0.000346,60.470894,333.797,311.12485,2722.2854,0,1114.4108,0,2798.5813,0,312.66696,309.56866,291.17245,0,0,292.52234,301.4751,249.03369,348.59265,0,291.67175,0,0,0,0,0,7.263441e-05,0,0,0.199874,0,1174.8817,1174.8817
18900,0,0,0,0.24029243,0,0.84175867,0.083787315,0.316,291.65,291.15,283.15,0,0,60.666912,0.000346,60.666912,333.7639,311.29846,2293.4219,0,943.1836,0,2374.5916,0,312.53238,309.92218,291.2967,0,0,292.72336,301.96075,345.05588,497.82465,0,291.98853,0,0,0,0,0,7.263441e-05,0,0,0.19986707,0,1003.85046,1003.85046
