Time,sFH_FMU.Electricity.P_el_dom,sFH_FMU.TDem_DHW
233100,508.4621,283.15
234000,511.55212,283.15
234900,512.4537,283.15
235800,502.74863,283.15
236700,482.9133,283.15
237600,669.5878,286.15
238500,2353.2842,285.15
239400,4220.553,318.15
240300,4192.9863,283.15
241200,4175.27,286.15
242100,4117.79,283.15
243000,661.43713,283.15
243900,873.834,283.15
244800,1479.2162,283.15
245700,1644.4614,283.15
246600,1561.9045,328.15
247500,861.41144,283.15
248400,364.66068,283.15
249300,364.03717,286.15
250200,364.50946,297.15
251100,364.31393,283.15
252000,373.13004,283.15
252900,136.35237,283.15
253800,66.26951,283.15
254700,132.47737,283.15
255600,132.68456,283.15
256500,126.28674,283.15
257400,156.36151,283.15
258300,158.12573,283.15
259200,152.82132,283.15
260100,151.31194,283.15
261000,99.073524,283.15
261900,61.520523,283.15
262800,60.24605,283.15
263700,61.946323,283.15
264600,61.19739,283.15
265500,62.485096,283.15
266400,62.461266,283.15
267300,61.306572,283.15
268200,61.870083,283.15
269100,66.70816,283.15
270000,134.56909,283.15
270900,132.37474,283.15
271800,134.36409,283.15
272700,84.89473,283.15
273600,59.964527,283.15
274500,59.76295,283.15
275400,61.487343,283.15
276300,113.35049,283.15
277200,151.63266,283.15
278100,153.50075,283.15
279000,154.5553,283.15
279900,301.1619,283.15
280800,345.15497,283.15
281700,225.28848,283.15
282600,225.58385,283.15
283500,1369.5771,283.15
284400,2015.2086,300.15
285300,1521.7349,283.15
286200,195.86014,286.15
287100,287.49527,283.15
288000,389.17953,286.15
288900,264.87247,286.15
289800,1642.3909,286.15
290700,1817.3784,286.15
291600,613.7055,286.15
292500,77.322556,283.15
293400,4347.313,286.15
294300,5548.256,283.15
295200,5187.1724,283.15
296100,2886.866,283.15
297000,1970.6112,285.15
297900,453.81488,283.15
298800,132.98215,283.15
299700,165.60144,283.15
300600,362.12015,286.15
301500,3248.7395,286.15
302400,3447.9624,283.15
303300,1459.652,283.15
304200,391.15167,283.15
305100,227.52998,289.15
306000,148.87708,283.15
306900,96.346214,283.15
307800,125.64627,283.15
308700,1495.2413,283.15
309600,2758.296,283.15
310500,3866.4834,283.15
311400,3706.6665,286.15
312300,2431.1428,283.15
313200,2217.0916,283.15
314100,2373.2085,283.15
315000,2305.1145,286.15
315900,1231.2179,283.15
316800,568.37085,283.15
317700,2400.6592,283.15
318600,2330.3145,286.15
319500,3121.9177,283.15
320400,4449.107,283.15
321300,4222.517,283.15
322200,5162.8433,283.15
323100,4101.4707,283.15
324000,3585.0151,286.15
324900,400.31964,285.15
325800,529.13055,285.15
326700,569.70294,283.15
327600,610.99164,286.15
328500,607.9543,283.15
329400,757.57416,283.15
330300,729.5299,283.15
331200,1414.2722,283.15
332100,1344.7754,283.15
333000,1411.1261,295.15
333900,1319.4868,283.15
334800,300.93723,283.15
335700,243.18307,286.15
336600,224.31837,297.15
337500,224.5999,283.15
338400,222.72186,283.15
339300,65.214615,283.15
340200,61.278954,283.15
341100,60.145706,283.15
342000,60.94976,283.15
342900,59.91721,283.15
343800,133.01642,283.15
344700,150.22318,283.15
345600,149.53654,283.15
346500,152.56831,283.15
347400,128.91283,283.15
348300,92.65033,283.15
349200,128.67426,283.15
350100,136.85376,283.15
351000,136.08656,283.15
351900,99.071365,283.15
352800,64.08323,283.15
353700,63.44267,283.15
354600,60.90611,283.15
355500,61.920673,283.15
356400,61.9183,283.15
357300,61.793385,283.15
358200,61.096317,283.15
359100,61.48821,283.15
360000,60.724957,283.15
360900,60.296497,283.15
361800,60.731777,283.15
362700,60.464245,283.15
363600,60.624737,283.15
364500,149.7513,283.15
365400,149.81088,283.15
366300,220.8702,283.15
367200,2494.8127,283.15
368100,2007.2809,283.15
369000,431.32684,283.15
369900,1158.8661,283.15
370800,2618.1921,300.15
371700,2063.179,283.15
372600,362.04462,286.15
373500,1297.4823,283.15
374400,844.1721,286.15
375300,129.55809,286.15
376200,1402.125,286.15
377100,2639.0876,286.15
378000,2956.8877,286.15
378900,2667.4648,283.15
379800,2215.0217,286.15
380700,2405.0308,283.15
381600,3618.3667,283.15
382500,2175.0476,283.15
383400,1203.1699,285.15
384300,215.73111,283.15
385200,251.3159,283.15
386100,2318.416,283.15
387000,3216.3015,286.15
387900,2002.8192,328.15
388800,423.11206,283.15
389700,196.7838,283.15
390600,73.358765,283.15
391500,60.594685,289.15
