Time,sFH_FMU.outputs.outputsDem.T_Air,sFH_FMU.ts_T_inside_min,sFH_FMU.ts_T_inside_max,sFH_FMU.outputs.outputsDist.t_TES,sFH_FMU.outputs.outputsDist.t_DHW,sFH_FMU.outputs.outputsGen.power_HP,sFH_FMU.outputs.outputsGen.power_rod,sFH_FMU.outputs.outputsElec.power_use_PV,sFH_FMU.outputs.outputsElec.power_to_grid_PV,sFH_FMU.outputs.outputsElec.power_to_BAT_PV,sFH_FMU.outputs.outputsElec.soc_BAT,sFH_FMU.outputs.outputsElec.res_elec,sFH_FMU.outputs.outputsTra.T_supply_UFH,sFH_FMU.outputs.outputsDist.ch_TES,sFH_FMU.outputs.outputsDist.ch_DHW,sFH_FMU.outputs.outputsGen.heat_rod,sFH_FMU.outputs.outputsGen.heat_HP,sFH_FMU.outputs.outputsGen.T_return,sFH_FMU.outputs.outputsGen.T_supply,sFH_FMU.outputs.outputsTra.T_return_UFH,sFH_FMU.outputs.outputsTra.Q_conv_UFH,sFH_FMU.outputs.outputsTra.Q_rad_UFH,sFH_FMU.outputs.outputsTra.T_panel_heating1,sFH_FMU.outputs.outputsDem.dT_vio,sFH_FMU.outputs.outputsElec.power_use_BAT,sFH_FMU.outputs.outputsElec.power_to_grid_BAT,sFH_FMU.outputs.outputsElec.power_to_BAT_from_grid,sFH_FMU.outputs.outputsElec.ch_BAT,sFH_FMU.outputs.outputsElec.dch_BAT,sFH_FMU.outputs.outputsElec.power_to_grid,sFH_FMU.outputs.outputsElec.power_from_grid,sFH_FMU.mFlow_DHW,sFH_FMU.TDem_DHW,sFH_FMU.dem_e_mob,sFH_FMU.dem_elec,sFH_FMU.table_HT_NT.y[1],sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.price_el
368100,291.43497,291.15,291.65,318.55295,311.98947,0,0,0,0,0,0.19719248,2007.2809,300.09384,0,0,0,0,321.3832,322.4659,292.31775,30.380636,-48.204712,291.50034,0,0,0,7.263441e-05,0,0,0,2007.2809,0,283.15,0,2007.2809,0.376,0.20927835,0.000346
369000,291.40924,291.15,291.65,318.53165,311.97354,0,0,0,0,0,0.19718562,431.32684,300.0808,0,0,0,0,321.3832,322.4659,292.30472,30.276327,-48.34621,291.47446,0,0,0,7.263441e-05,0,0,0,431.32684,0,283.15,0,431.32684,0.376,0.20927835,0.000346
369900,291.38345,291.15,291.65,318.5104,311.95764,0,0,0,0,0,0.19717878,1158.8661,300.06772,0,0,0,0,321.3832,322.4659,292.29163,30.18858,-48.53074,291.4485,0,0,0,7.263441e-05,0,0,0,1158.8661,0,283.15,0,1158.8661,0.376,0.20927835,0.000346
370800,291.35788,291.15,291.65,318.48914,311.94177,0,0,0,0,0,0.19717193,2618.1921,300.05472,0,0,0,0,321.3832,322.4659,292.27866,32.068657,-60.423782,291.42615,0,0,0,7.263441e-05,0,0,0,2618.1921,0.05666667,300.15,0,2618.1921,0.376,0.21347827,0.000346
371700,291.6377,291.15,291.65,318.46793,312.04752,3518.9966,0,0,0,0,0.19716509,5582.1753,300.09613,0,6664.9287,0,7000,314.89017,322.47568,292.32007,-8.802896,-25.62344,291.51163,0,0,0,7.263441e-05,0,0,0,5582.1753,0,283.15,0,2063.179,0.376,0.21347827,0.000346
372600,291.63864,291.15,291.65,318.4467,316.54132,3783.623,0,0,0,0,0.19715823,4145.6675,300.09988,0,6277.0664,0,7000,319.76135,326.90543,292.32382,-8.564493,-16.37603,291.516,0,0,0,7.263441e-05,0,0,0,4145.6675,0.01,286.15,0,362.04462,0.376,0.21347827,0.000346
373500,291.6255,291.15,291.65,318.4255,320.4596,2685.6772,0,0,0,0,0.1971514,3983.1594,300.09357,0,4803.987,0,4882.71,323.05832,328.52582,292.31747,-8.5581665,-14.998689,291.50293,0,0,0,7.263441e-05,0,0,0,3983.1594,0,283.15,0,1297.4823,0.376,0.21347827,0.000346
374400,291.6106,293.65,294.15,318.40433,323.30878,1822.8153,0,0,0,0,0.19714455,2666.9873,308.70218,0,3299.3884,0,3316.972,325.08908,328.8442,291.4688,-8.629379,-15.235005,291.487,2.0394015,0,0,7.263441e-05,0,0,0,2666.9873,0.01,286.15,0,844.1721,0.376,0.27343792,0.000346
375300,293.89905,293.65,294.15,310.04416,325.14648,1215.2275,0,0,0,0,0.1971377,1344.7856,312.414,2220.6372,0,0,2209.2417,326.31442,328.8418,306.87125,3639.446,4861.599,301.19617,0,0,0,7.263441e-05,0,0,0,1344.7856,0.01,286.15,0,129.55809,0.376,0.27343792,0.000346
376200,293.46643,293.65,294.15,305.40347,326.44302,1157.5024,0,0,0,0,0.19713086,2559.6274,307.05988,1911.3182,0,0,2100,327.49307,329.66837,302.9406,2642.2979,3565.5503,298.76428,0.18356673,0,0,7.263441e-05,0,0,0,2559.6274,0.01,286.15,0,1402.125,0.376,0.27343792,0.000346
377100,293.04938,293.65,294.15,301.94034,327.67908,1159.7343,0,42.828766,0,0,0.197124,3798.8218,303.17358,1911.8044,0,0,2100,328.80682,330.9827,300.1067,1970.2876,2651.4565,296.99982,0.60063446,0,0,7.263441e-05,0,0,0,3755.993,0.01,286.15,0,2639.0876,0.376,0.27343792,0.000346
378000,292.73492,293.65,294.15,299.35828,328.91672,1160.4337,0,150.9863,0,0,0.19711716,4117.3213,300.27853,1915.7262,0,0,2100,330.09067,332.271,297.9896,1466.4327,1977.6744,295.67514,0.91508085,0,0,7.263441e-05,0,0,0,3966.3352,0.01,286.15,0,2956.8877,0.376,0.23926872,0.000346
378900,292.43756,293.65,294.15,297.42426,330.15555,1159.9008,0,281.24188,0,0,0.19711033,3827.3657,298.115,1918.0237,0,0,2100,331.3551,333.53806,296.39584,1109.499,1470.6617,294.66214,1.2124336,0,0,7.263441e-05,0,0,0,3546.1238,0,283.15,0,2667.4648,0.376,0.23926872,0.000346
379800,292.25842,293.65,294.15,295.9751,331.4763,1159.3678,0,384.2617,0,0,0.19710349,3374.3896,296.49188,1905.3768,0,0,2100,332.7009,334.86945,295.2057,825.32,1098.8423,293.9132,1.3915783,0,0,7.263441e-05,0,0,0,2990.128,0.01,286.15,0,2215.0217,0.376,0.23926872,0.000346
380700,292.1202,293.65,294.15,294.88995,332.71274,1158.8348,0,453.5289,0,0,0.19709663,3563.8655,295.27716,1921.0476,0,0,2100,333.94775,336.13416,294.31305,612.80914,823.11914,293.3489,1.5297809,0,0,7.263441e-05,0,0,0,3110.3367,0,283.15,0,2405.0308,0.376,0.23926872,0.000346
381600,292.01373,293.65,294.15,294.07568,334.03326,1158.3019,0,512.33185,0,0,0.19708979,4776.6685,294.36627,1907.3328,0,0,2100,335.27756,337.44833,293.6425,453.69208,617.82385,292.92337,1.636274,0,0,7.263441e-05,0,0,0,4264.337,0,283.15,0,3618.3667,0.376,0.19929563,0.000346
382500,292.34503,293.65,294.15,298.53036,334.18713,2821.5232,0,553.7559,0,0,0.19708295,4996.571,299.6669,7009.231,0,0,7000,303.64224,311.6196,297.1921,1306.4567,1629.2772,294.9645,1.3049536,0,0,7.263441e-05,0,0,0,4442.815,0,283.15,0,2175.0476,0.376,0.19929563,0.000346
383400,292.6417,293.65,294.15,300.575,334.1537,2915.4604,0,570.7175,0,0,0.19707611,4118.6304,301.862,6741.753,0,0,7000,305.40405,313.077,298.82718,1681.6732,2146.808,296.0135,1.0082995,0,0,7.263441e-05,0,0,0,3547.9128,0.003333333,285.15,0,1203.1699,0.376,0.19929563,0.000346
384300,292.8441,293.65,294.15,302.10275,334.10016,3018.808,0,547.56537,0,0,0.19706926,3234.5393,303.55246,6793.7485,0,0,7000,306.96072,314.69284,300.0667,1970.7512,2535.1135,296.79547,0.80591774,0,0,7.263441e-05,0,0,0,2686.9739,0,283.15,0,215.73111,0.376,0.19929563,0.000346
385200,293.00223,293.65,294.15,303.28442,334.0668,3099.1724,0,493.5797,0,0,0.19706242,3350.4883,304.86053,6840.183,0,0,7000,308.17078,315.95572,301.0255,2193.5522,2835.5276,297.40033,0.6477721,0,0,7.263441e-05,0,0,0,2856.9087,0,283.15,0,251.3159,0.376,0.2070412,0.000346
386100,293.129,293.65,294.15,304.20007,334.03348,3163.6655,0,439.11038,0,0,0.19705558,5482.0815,305.87375,6876.158,0,0,7000,309.10843,316.93433,301.76926,2365.0413,3067.705,297.8709,0.5210172,0,0,7.263441e-05,0,0,0,5042.971,0,283.15,0,2318.416,0.376,0.2070412,0.000346
387000,293.23257,293.65,294.15,304.91046,334.00015,3217.434,0,414.2355,0,0,0.19704874,6433.7354,306.6593,6903.865,0,0,7000,309.8358,317.6932,302.34735,2496.8306,3246.6233,298.23874,0.4174326,0,0,7.263441e-05,0,0,0,6019.5,0.01,286.15,0,3216.3015,0.376,0.2070412,0.000346
387900,293.31955,293.65,294.15,305.46252,333.87787,3260.7007,0,422.46133,0,0,0.1970419,5263.52,307.269,6925.13,0,0,7000,310.40085,318.28247,302.79794,2597.7021,3384.165,298.52795,0.33046523,0,0,7.263441e-05,0,0,0,4841.0586,0.01,328.15,0,2002.8192,0.376,0.2070412,0.000346
388800,293.39322,293.65,294.15,305.881,332.51105,3224.4263,0,440.31686,0,0,0.19703506,3647.5383,307.7281,6859.251,0,0,6875.05,310.77676,318.58344,303.14197,2673.3074,3486.7815,298.75323,0.2567872,0,0,7.263441e-05,0,0,0,3207.2214,0,283.15,0,423.11206,0.376,0.20193377,0.000346
389700,293.5155,293.65,294.15,306.1509,332.47964,3180.2039,0,457.25983,0,0,0.1970282,3376.9875,308.01477,6757.6787,0,0,6765.643,310.97034,318.6614,303.37326,2697.4243,3558.6099,298.92386,0.13450846,0,0,7.263441e-05,0,0,0,2919.7278,0,283.15,0,196.7838,0.376,0.20193377,0.000346
390600,293.56335,293.65,294.15,306.31784,332.44772,3151.8665,0,462.78467,0,0,0.19702137,3225.225,308.19238,6691.2495,0,0,6695.4697,311.08704,318.70248,303.51382,2723.3315,3597.058,299.02365,0.08665435,0,0,7.263441e-05,0,0,0,2762.4404,0,283.15,0,73.358765,0.376,0.20193377,0.000346
391500,293.60007,293.65,294.15,306.42032,332.4158,3133.1487,0,460.80746,0,0,0.19701453,3193.7434,308.30054,6647.95,0,0,6649.713,311.15692,318.7231,303.60196,2737.797,3618.2388,299.0894,0.049933616,0,0,7.263441e-05,0,0,0,2732.9358,0.008888889,289.15,0,60.594685,0.376,0.20193377,0.000346
392400,293.63126,293.65,294.15,306.48288,332.2259,3118.0854,0,456.46594,0,0,0.19700769,3179.723,308.36533,6616.69,0,0,6615.954,311.19635,318.72696,303.6577,2744.78,3628.4644,299.13455,0.018758213,0,0,7.263441e-05,0,0,0,2723.2568,0,283.15,0,61.63749,0.376,0.20429754,0.000346
393300,293.67218,293.65,294.15,306.52145,332.19424,3100.571,0,440.9863,0,0,0.19700085,3205.0361,308.403,6586.811,0,0,6582.7573,311.21335,318.70993,303.69553,2742.5847,3634.2803,299.1711,0,0,0,7.263441e-05,0,0,0,2764.0498,0,283.15,0,104.464966,0.376,0.20429754,0.000346
394200,293.69714,293.65,294.15,306.54105,332.16254,3081.954,0,405.61337,0,0,0.196994,3225.805,308.42044,6557.589,0,0,6551.8022,311.2117,318.67505,303.71628,2741.4307,3634.1892,299.19376,0,0,0,7.263441e-05,0,0,0,2820.1917,0,283.15,0,143.85077,0.376,0.20429754,0.000346
395100,293.7184,293.65,294.15,306.5461,332.1309,3066.109,0,357.39264,0,0,0.19698717,3206.865,308.42227,6533.398,0,0,6527.8433,311.19907,318.63486,303.7249,2737.9807,3630.4875,299.2081,0,0,0,7.263441e-05,0,0,0,2849.4724,0,283.15,0,140.75615,0.376,0.20429754,0.000346
396000,293.73795,293.65,294.15,306.54486,332.09924,3056.1265,0,309.17136,0,0,0.19698033,3198.2542,308.41757,6517.2344,0,0,6513.9146,311.18573,318.60315,303.72827,2733.3162,3626.392,299.2183,0,0,0,7.263441e-05,0,0,0,2889.0828,0,283.15,0,142.12769,0.376,0.22650012,0.000346
396900,293.6922,293.65,294.15,306.53714,332.0676,3051.64,0,260.9384,0,0,0.19697349,3191.1367,308.40994,6510.997,0,0,6508.6426,311.17313,318.58344,303.71875,2750.1235,3613.4106,299.20624,0,0,0,7.263441e-05,0,0,0,2930.1985,0,283.15,0,139.49684,0.376,0.22650012,0.000346
397800,293.70612,293.65,294.15,306.53058,332.036,3050.011,0,212.67853,0,0,0.19696665,3283.268,308.40088,6508.4097,0,0,6507.545,311.16464,318.57202,303.71704,2745.933,3606.9192,299.21176,0,0,0,7.263441e-05,0,0,0,3070.5896,0.01,286.15,0,233.2571,0.376,0.22650012,0.000346
398700,293.72183,293.65,294.15,306.5297,331.91562,3051.4634,0,164.45058,0,0,0.19695981,3288.2507,308.3979,6509.1055,0,0,6510.142,311.16415,318.57233,303.71988,2742.3076,3602.1843,299.22018,0,0,0,7.263441e-05,0,0,0,3123.8003,0,283.15,0,236.78735,0.376,0.22650012,0.000346
399600,293.73752,293.65,294.15,306.53534,331.8842,3057.09,0,116.48172,0,0,0.19695297,3285.4465,308.40244,6514.4136,0,0,6517.812,311.17346,318.58768,303.72778,2740.0327,3599.659,299.23132,0,0,0,7.263441e-05,0,0,0,3168.9648,0,283.15,0,228.35637,0.376,0.25216395,0.000346
400500,293.73972,293.65,294.15,306.5476,331.85272,3072.1035,0,69.502975,0,0,0.19694613,3264.1973,308.4156,6530.152,0,0,6538.5674,311.19638,318.6285,303.7392,2743.8765,3597.1833,299.24124,0,0,0,7.263441e-05,0,0,0,3194.6943,0,283.15,0,192.09366,0.376,0.25216395,0.000346
401400,293.75455,293.65,294.15,306.57187,331.82132,3095.3364,0,24.776348,0,0,0.19693929,3255.2275,308.44208,6556.3135,0,0,6568.6846,311.23917,318.70105,303.76157,2745.8757,3599.099,299.26007,0,0,0,7.263441e-05,0,0,0,3230.4512,0.01,286.15,0,159.89108,0.376,0.25216395,0.000346
402300,293.77112,293.65,294.15,306.60977,331.70105,3122.4546,0,0,0,0,0.19693245,3305.2456,308.4839,6586.867,0,0,6601.567,311.29892,318.7956,303.79492,2750.4128,3604.3594,299.28574,0,0,0,7.263441e-05,0,0,0,3305.2456,0,283.15,0,182.79112,0.376,0.25216395,0.000346
403200,293.79053,293.65,294.15,306.65942,331.6698,3149.7004,0,0,0,0,0.19692563,3376.9314,308.5386,6616.75,0,0,6632.145,311.37015,318.90082,303.83807,2756.8413,3612.4587,299.31802,0,0,0,7.263441e-05,0,0,0,3376.9314,0,283.15,0,227.23093,0.376,0.28973106,0.000346
404100,293.81076,293.65,294.15,306.71878,331.63852,3189.2373,0,0,0,0,0.19691879,3551.364,308.60434,6657.204,0,0,6680.2065,311.4575,319.0342,303.8889,2765.1045,3623.052,299.35483,0,0,0,7.263441e-05,0,0,0,3551.364,0,283.15,0,362.12686,0.376,0.28973106,0.000346
405000,293.8317,293.65,294.15,306.79346,331.60727,3235.639,0,0,0,0,0.19691195,3708.5566,308.6878,6708.2646,0,0,6733.2593,311.5688,319.2036,303.95187,2776.515,3637.4705,299.39862,0,0,0,7.263441e-05,0,0,0,3708.5566,0.01,286.15,0,472.91772,0.376,0.28973106,0.000346
405900,293.8542,293.65,294.15,306.87946,331.48718,3271.1814,0,0,0,0,0.1969051,4065.1326,308.7835,6747.22,0,0,6767.0884,311.6837,319.36285,304.0242,2790.1462,3655.0105,299.4485,0,0,0,7.263441e-05,0,0,0,4065.1326,0,283.15,246.66667,547.28467,0.376,0.28973106,0.000346
406800,293.878,293.65,294.15,306.96127,331.45612,3279.7432,0,0,0,0,0.19689827,7629.0796,308.87314,6754.749,0,0,6762.1665,311.77255,319.4603,304.0936,2802.9373,3670.662,299.4979,0,0,0,7.263441e-05,0,0,0,7629.0796,0,283.15,3700,649.33624,0.376,0.3125457,0.000346
407700,293.96555,293.65,294.15,307.02954,331.42502,3274.7563,0,0,0,0,0.19689143,7657.699,308.94254,6738.7456,0,0,6743.5933,311.8294,319.49893,304.15976,2790.2537,3690.4119,299.56006,0,0,0,7.263441e-05,0,0,0,7657.699,0,283.15,3700,682.943,0.376,0.3125457,0.000346
408600,293.9909,293.65,294.15,307.08133,331.39392,3272.502,0,0,0,0,0.1968846,7524.926,308.9967,6727.571,0,0,6731.648,311.87268,319.52948,304.20544,2795.7002,3699.6726,299.5963,0,0,0,7.263441e-05,0,0,0,7524.926,0,283.15,3700,552.42395,0.376,0.3125457,0.000346
409500,294.0126,293.65,294.15,307.1204,331.36288,3272.6892,0,0,0,0,0.19687776,7485.8257,309.0375,6721.3467,0,0,6725.1533,311.90692,319.55664,304.24072,2799.42,3705.3699,299.6255,0,0,0,7.263441e-05,0,0,0,7485.8257,0,283.15,3700,513.13635,0.376,0.3125457,0.000346
410400,294.03317,293.65,294.15,307.15198,331.33185,3274.577,0,0,0,0,0.19687092,7690.985,309.07025,6718.5254,0,0,6722.2847,311.93628,319.58276,304.2699,2801.812,3708.6628,299.65085,0,0,0,7.263441e-05,0,0,0,7690.985,0.01,286.15,3700,716.40765,0.376,0.29521838,0.000346
411300,294.06628,293.65,294.15,307.18057,331.212,3277.322,0,0,0,0,0.19686408,7568.0186,309.09903,6717.335,0,0,6721.16,311.96393,319.60907,304.2982,2799.0225,3712.8245,299.67834,0,0,0,7.263441e-05,0,0,0,7568.0186,0.003333333,285.15,3700,590.6967,0.376,0.29521838,0.000346
412200,294.08646,293.65,294.15,307.20703,331.1614,3280.69,0,0,0,0,0.19685726,7601.9897,309.12616,6717.4385,0,0,6721.2847,311.99036,319.63565,304.3232,2800.2505,3715.1335,299.701,0,0,0,7.263441e-05,0,0,0,7601.9897,0.003333333,285.15,3700,621.29956,0.376,0.29521838,0.000346
413100,294.10605,293.65,294.15,307.2321,331.1108,3284.4783,0,0,0,0,0.19685042,7594.0776,309.15192,6718.3706,0,0,6722.2485,312.01605,319.66235,304.34708,2801.3499,3717.0718,299.72278,0,0,0,7.263441e-05,0,0,0,7594.0776,0,283.15,3700,609.5992,0.376,0.29521838,0.000346
414000,294.12537,293.65,294.15,307.2562,331.08002,3288.5852,0,0,0,0,0.19684358,7629.113,309.1767,6719.927,0,0,6723.834,312.04123,319.68933,304.37018,2800.5815,3730.251,299.74057,0,0,0,7.263441e-05,0,0,0,7629.113,0.01,286.15,3700,640.5278,0.376,0.28650197,0.000346
414900,293.88855,293.65,294.15,307.25684,330.96033,3297.7253,0,0,0,0,0.19683675,7698.5625,309.19122,6732.839,0,0,6736.1406,312.04984,319.71265,304.34308,2885.007,3701.3845,299.67303,0,0,0,7.263441e-05,0,0,0,7698.5625,0,283.15,3700,700.8369,0.376,0.28650197,0.000346
415800,293.8906,293.65,294.15,307.25494,330.92966,3308.2786,0,0,0,0,0.19682992,4284.9697,309.19043,6747.2153,0,0,6751.0913,312.05853,319.7377,304.34348,2885.128,3697.1628,299.6753,0,0,0,7.263441e-05,0,0,0,4284.9697,0,283.15,246.66667,730.0245,0.376,0.28650197,0.000346
416700,293.90106,293.65,294.15,307.26285,330.899,3316.9492,0,0,0,0,0.19682308,4162.0244,309.19855,6757.761,0,0,6761.859,312.07425,319.7654,304.35202,2884.5,3696.2,299.6845,0,0,0,7.263441e-05,0,0,0,4162.0244,0,283.15,0,845.07526,0.376,0.28650197,0.000346
417600,293.9126,293.65,294.15,307.27673,330.86835,3324.2585,0,0,0,0,0.19681625,5143.6504,309.21307,6765.5923,0,0,6769.732,312.09387,319.79395,304.36545,2884.925,3696.8767,299.6969,0,0,0,7.263441e-05,0,0,0,5143.6504,0,283.15,0,1819.3918,0.376,0.2531137,0.000346
418500,293.9248,293.65,294.15,307.29187,330.83774,3319.303,0,0,0,0,0.19680941,5115.006,309.22858,6760.8994,0,0,6758.7793,312.1067,319.80142,304.38007,2885.5552,3698.0256,299.7104,0,0,0,7.263441e-05,0,0,0,5115.006,0,283.15,0,1795.7029,0.376,0.2531137,0.000346
419400,293.93726,293.65,294.15,307.29916,330.80713,3303.6477,0,0,0,0,0.19680257,4941.2617,309.23444,6741.064,0,0,6735.1704,312.1001,319.77225,304.38858,2884.4897,3697.357,299.72067,0,0,0,7.263441e-05,0,0,0,4941.2617,0.017777778,295.15,0,1637.6138,0.376,0.2531137,0.000346
420300,293.94882,293.65,294.15,307.29562,330.14438,3287.6365,0,0,0,0,0.19679575,4790.081,309.22803,6719.7114,0,0,6713.6455,312.081,319.72885,304.38837,2881.2344,3693.8938,299.72574,0,0,0,7.263441e-05,0,0,0,4790.081,0,283.15,0,1502.4446,0.376,0.2531137,0.000346
421200,293.95935,293.65,294.15,307.2868,330.11462,3280.1414,0,0,0,0,0.1967889,3849.2144,309.21616,6708.048,0,0,6705.5996,312.06317,319.69775,304.38373,2876.8823,3689.7505,299.7275,0,0,0,7.263441e-05,0,0,0,3849.2144,0,283.15,0,569.07294,0.376,0.2070201,0.000346
422100,293.91858,293.65,294.15,307.27554,330.08466,3278.2546,0,0,0,0,0.19678208,3874.5574,309.20508,6706.6475,0,0,6704.7627,312.05066,319.68365,304.37115,2890.0217,3679.2363,299.71313,0,0,0,7.263441e-05,0,0,0,3874.5574,0.01,286.15,0,596.30273,0.376,0.2070201,0.000346
423000,293.92578,293.65,294.15,307.26672,329.96582,3277.24,0,0,0,0,0.19677524,3807.4238,309.19443,6705.89,0,0,6704.9414,312.04132,319.67346,304.36615,2886.7085,3674.1965,299.71368,0,0,0,7.263441e-05,0,0,0,3807.4238,0.046666667,297.15,0,530.1839,0.376,0.2070201,0.000346
423900,293.93484,293.65,294.15,307.26282,327.9996,3278.8813,0,0,0,0,0.19676842,3711.507,309.18893,6707.48,0,0,6708.268,312.03845,319.6724,304.36508,2883.831,3670.5535,299.71695,0,0,0,7.263441e-05,0,0,0,3711.507,0,283.15,0,432.62573,0.376,0.2070201,0.000346
424800,293.94427,291.15,291.65,307.2651,327.97223,1027.0479,0,0,0,0,0.19676158,1393.282,306.7798,6714.0337,0,0,2100,312.0453,319.68668,298.75946,2882.261,3668.0771,299.72324,2.294266,0,0,7.263441e-05,0,0,0,1393.282,0,283.15,0,366.23413,0.316,0.25053886,0.000346
425700,292.5873,291.15,291.65,310.06427,327.94403,1342.5159,0,0,0,0,0.19675475,1503.467,301.135,2993.2183,0,0,2981.62,311.974,315.38065,293.11472,174.50104,244.41571,292.9372,0.937324,0,0,7.263441e-05,0,0,0,1503.467,0,283.15,0,160.95123,0.316,0.25053886,0.000346
426600,292.26324,291.15,291.65,311.80078,327.91586,945.10315,0,0,0,0,0.19674791,1106.5269,300.779,2019.1581,0,0,2100,313.02698,315.32504,292.7587,47.512012,-10.635046,292.3586,0.6132362,0,0,7.263441e-05,0,0,0,1106.5269,0,283.15,0,161.42369,0.316,0.25053886,0.000346
427500,292.19702,291.15,291.65,313.139,327.8877,968.19464,0,0,0,0,0.19674109,1130.7616,300.72858,1906.6252,0,0,2100,314.3072,316.47717,292.70828,35.28679,-34.970676,292.27075,0.5470174,0,0,7.263441e-05,0,0,0,1130.7616,0,283.15,0,162.56702,0.316,0.25053886,0.000346
428400,292.1594,291.15,291.65,314.45294,327.8596,994.91144,0,0,0,0,0.19673425,1154.6217,300.70764,1906.4633,0,0,2100,315.65097,317.82077,292.68735,33.740894,-37.534744,292.2305,0.5093854,0,0,7.263441e-05,0,0,0,1154.6217,0,283.15,0,159.71027,0.316,0.21037582,0.000346
429300,292.12527,291.15,291.65,315.76694,327.83148,1020.2232,0,0,0,0,0.19672742,1181.4794,300.68988,1907.9961,0,0,2100,316.98343,319.15497,292.6696,33.21758,-38.010223,292.1955,0.47526312,0,0,7.263441e-05,0,0,0,1181.4794,0,283.15,0,161.25613,0.316,0.21037582,0.000346
430200,292.092,291.15,291.65,317.08093,327.80338,1044.9885,0,0,0,0,0.1967206,1206.8513,300.67273,1908.9648,0,0,2100,318.30792,320.48056,292.6524,32.819187,-38.286335,292.16156,0.44202375,0,0,7.263441e-05,0,0,0,1206.8513,0,283.15,0,161.86282,0.316,0.21037582,0.000346
431100,292.05936,291.15,291.65,318.3945,327.77533,1069.652,0,0,0,0,0.19671376,1252.1515,300.65588,1909.572,0,0,2100,319.62747,321.80078,292.63556,32.455784,-38.546062,292.12827,0.4093542,0,0,7.263441e-05,0,0,0,1252.1515,0,283.15,0,182.49951,0.316,0.21037582,0.000346
432000,292.0272,291.15,291.65,319.70746,327.74728,1094.2483,0,0,0,0,0.19670694,1246.9696,300.6393,1909.9711,0,0,2100,320.94382,323.11758,292.619,32.002285,-38.144688,292.09534,0.37717718,0,0,7.263441e-05,0,0,0,1246.9696,0,283.15,0,152.72139,0.316,0.21073459,0.000346
432900,291.95407,291.15,291.65,320.51938,327.71924,0,0,0,0,0,0.19670011,61.79462,300.61218,0,0,0,0,322.82358,323.90637,292.59186,42.642178,-47.039494,292.04053,0.30406025,0,0,7.263441e-05,0,0,0,61.79462,0,283.15,0,61.79462,0.316,0.21073459,0.000346
433800,291.92017,291.15,291.65,320.49655,327.69125,0,0,0,0,0,0.19669327,60.47731,300.59372,0,0,0,0,322.82358,323.90637,292.57343,41.599186,-48.820435,292.0048,0.27016255,0,0,7.263441e-05,0,0,0,60.47731,0,283.15,0,60.47731,0.316,0.21073459,0.000346
434700,291.88898,291.15,291.65,320.47375,327.66327,0,0,0,0,0,0.19668645,60.208794,300.57748,0,0,0,0,322.82358,323.90637,292.5572,41.097942,-49.11739,291.97275,0.23898816,0,0,7.263441e-05,0,0,0,60.208794,0,283.15,0,60.208794,0.316,0.21073459,0.000346
435600,291.85812,291.15,291.65,320.45096,327.6353,0,0,0,0,0,0.19667962,132.25896,300.56158,0,0,0,0,322.82358,323.90637,292.5413,40.752373,-49.265415,291.94128,0.20812553,0,0,7.263441e-05,0,0,0,132.25896,0,283.15,0,132.25896,0.316,0.21383706,0.000346
436500,291.827,291.15,291.65,320.4282,327.60736,0,0,0,0,0,0.19667278,151.80763,300.5457,0,0,0,0,322.82358,323.90637,292.5254,40.55456,-49.4687,291.9098,0.1769901,0,0,7.263441e-05,0,0,0,151.80763,0,283.15,0,151.80763,0.316,0.21383706,0.000346
437400,291.7956,291.15,291.65,320.40546,327.57944,0,0,0,0,0,0.19666596,155.21745,300.52975,0,0,0,0,322.82358,323.90637,292.50946,40.44965,-49.776665,291.87823,0.14560819,0,0,7.263441e-05,0,0,0,155.21745,0,283.15,0,155.21745,0.316,0.21383706,0.000346
438300,291.7643,291.15,291.65,320.38272,327.55154,0,0,0,0,0,0.19665913,154.88803,300.5139,0,0,0,0,322.82358,323.90637,292.4936,40.354893,-50.13705,291.84677,0.11431476,0,0,7.263441e-05,0,0,0,154.88803,0,283.15,0,154.88803,0.316,0.21383706,0.000346
439200,291.73352,291.15,291.65,320.36002,327.52368,0,0,0,0,0,0.19665231,95.71813,300.4982,0,0,0,0,322.82358,323.90637,292.47787,40.195133,-50.489143,291.8157,0.08352907,0,0,7.263441e-05,0,0,0,95.71813,0,283.15,0,95.71813,0.316,0.23217739,0.000346
440100,291.70334,291.15,291.65,320.3373,327.49582,0,0,0,0,0,0.19664547,125.116165,300.48273,0,0,0,0,322.82358,323.90637,292.46243,39.968018,-50.771465,291.78513,0.053340767,0,0,7.263441e-05,0,0,0,125.116165,0,283.15,0,125.116165,0.316,0.23217739,0.000346
441000,291.67346,291.15,291.65,320.31464,327.468,0,0,0,0,0,0.19663864,127.11008,300.46747,0,0,0,0,322.82358,323.90637,292.44717,39.754135,-51.002865,291.75488,0.023462802,0,0,7.263441e-05,0,0,0,127.11008,0,283.15,0,127.11008,0.316,0.23217739,0.000346
441900,291.6438,291.15,291.65,320.29196,327.44016,0,0,0,0,0,0.19663182,133.97287,300.4523,0,0,0,0,322.82358,323.90637,292.432,39.550545,-51.2265,291.72485,0,0,0,7.263441e-05,0,0,0,133.97287,0,283.15,0,133.97287,0.316,0.23217739,0.000346
