Electricity.Timestep;Sum [kWh]
5400;0.094587129
5415;0.100079909
5430;0.132282647
5445;0.142425739
5460;0.15274791
5475;0.151988569
5490;0.189393539
5505;0.182382482
5520;0.353568067
5535;0.336193853
5550;0.352781515
5565;0.329871719
5580;0.075234308
5595;0.060795771
5610;0.056079593
5625;0.056149975
5640;0.055680466
5655;0.016303651
5670;0.015319738
5685;0.015036425
5700;0.015237438
5715;0.014979302
5730;0.033254104
5745;0.037555794
5760;0.037384135
5775;0.038142078
5790;0.032228205
5805;0.023162583
5820;0.032168567
5835;0.034213438
5850;0.03402164
5865;0.024767841
5880;0.016020811
5895;0.015860668
5910;0.015226527
5925;0.015480168
5940;0.015479572
5955;0.015448346
5970;0.015274079
5985;0.015372052
6000;0.015181237
6015;0.015074121
6030;0.015182943
6045;0.015116059
6060;0.015156185
6075;0.037437827
6090;0.037452723
6105;0.055217548
6120;0.623703165
6135;0.501820218
6150;0.107831707
6165;0.289716537
6180;0.654548034
6195;0.515794721
6210;0.090511153
6225;0.324370564
6240;0.211043031
6255;0.032389526
6270;0.350531263
6285;0.659771891
6300;0.73922194
6315;0.666866206
6330;0.55375543
6345;0.601257683
6360;0.904591679
6375;0.543761924
6390;0.300792487
6405;0.053932779
6420;0.062828976
6435;0.579604025
6450;0.804075356
6465;0.500704792
6480;0.105778013
6495;0.04919595
6510;0.018339691
6525;0.015148671
6540;0.015409372
6555;0.026116243
6570;0.03596269
6585;0.035189036
6600;0.035531921
6615;0.034874212
6630;0.058314275
6645;0.059196838
6660;0.057089092
6675;0.048023413
6690;0.03997277
6705;0.045697781
6720;0.05680773
6735;0.090531712
6750;0.118229431
6765;0.136821174
6780;0.162334059
6795;0.170735747
6810;0.138105995
6825;0.128284095
6840;0.179101909
6855;0.147674176
6870;0.155324888
6885;0.152399792
6900;0.160131949
6915;0.175209234
6930;0.182506121
6945;0.211268813
6960;0.45484797
6975;0.448925704
6990;0.409403441
7005;0.375611145
7020;0.142268228
7035;0.149075685
7050;0.132545967
7065;0.108156432
7080;0.091558535
7095;0.040237811
7110;0.040355921
7125;0.040641758
7140;0.039927567
7155;0.040314032
7170;0.040465706
7185;0.045624877
7200;0.038180346
7215;0.015448657
7230;0.015119326
7245;0.015052199
7260;0.03306474
