Time,sFH_FMU_UFH.mFlow_DHW,sFH_FMU_UFH.TDem_DHW
297000,285.15,0.003333333
297900,283.15,0
298800,283.15,0
299700,283.15,0
300600,286.15,0.01
301500,286.15,0.01
302400,283.15,0
303300,283.15,0
304200,283.15,0
305100,289.15,0.008888889
306000,283.15,0
306900,283.15,0
307800,283.15,0
308700,283.15,0
309600,283.15,0
310500,283.15,0
311400,286.15,0.01
312300,283.15,0
313200,283.15,0
314100,283.15,0
315000,320.15,0.01
315900,283.15,0
316800,283.15,0
317700,283.15,0
318600,286.15,0.01
319500,283.15,0
320400,283.15,0
321300,283.15,0
322200,283.15,0
323100,283.15,0
324000,286.15,0.01
324900,285.15,0.003333333
325800,285.15,0.003333333
326700,283.15,0
327600,286.15,0.01
328500,283.15,0
329400,283.15,0
330300,283.15,0
331200,283.15,0
332100,283.15,0
333000,295.15,0.017777779
333900,283.15,0
334800,283.15,0
335700,286.15,0.01
336600,297.15,0.046666667
337500,283.15,0
338400,283.15,0
339300,283.15,0
340200,283.15,0
341100,283.15,0
342000,283.15,0
342900,283.15,0
343800,283.15,0
344700,283.15,0
345600,283.15,0
346500,283.15,0
347400,283.15,0
348300,283.15,0
349200,283.15,0
350100,283.15,0
351000,283.15,0
351900,283.15,0
352800,283.15,0
353700,283.15,0
354600,283.15,0
355500,283.15,0
356400,283.15,0
357300,283.15,0
358200,283.15,0
359100,283.15,0
360000,283.15,0
360900,283.15,0
361800,283.15,0
362700,283.15,0
363600,283.15,0
364500,283.15,0
365400,283.15,0
366300,283.15,0
367200,283.15,0
368100,283.15,0
369000,283.15,0
369900,283.15,0
370800,300.15,0.056666667
371700,283.15,0
372600,286.15,0.01
373500,283.15,0
374400,286.15,0.01
375300,286.15,0.01
376200,286.15,0.01
377100,286.15,0.01
378000,286.15,0.01
378900,283.15,0
379800,286.15,0.01
380700,283.15,0
381600,283.15,0
382500,283.15,0
383400,285.15,0.003333333
384300,283.15,0
385200,283.15,0
386100,283.15,0
387000,286.15,0.01
387900,328.15,0.01
388800,283.15,0
389700,283.15,0
390600,283.15,0
391500,289.15,0.008888889
392400,283.15,0
393300,283.15,0
394200,283.15,0
395100,283.15,0
396000,283.15,0
396900,283.15,0
397800,286.15,0.01
398700,283.15,0
399600,283.15,0
400500,283.15,0
401400,286.15,0.01
402300,283.15,0
403200,283.15,0
404100,283.15,0
405000,286.15,0.01
405900,283.15,0
406800,283.15,0
407700,283.15,0
408600,283.15,0
409500,283.15,0
410400,286.15,0.01
411300,285.15,0.003333333
412200,285.15,0.003333333
413100,283.15,0
414000,286.15,0.01
414900,283.15,0
415800,283.15,0
416700,283.15,0
417600,283.15,0
418500,283.15,0
419400,295.15,0.017777779
420300,283.15,0
421200,283.15,0
422100,286.15,0.01
423000,297.15,0.046666667
423900,283.15,0
424800,283.15,0
425700,283.15,0
426600,283.15,0
427500,283.15,0
428400,283.15,0
429300,283.15,0
430200,283.15,0
431100,283.15,0
432000,283.15,0
432900,283.15,0
433800,283.15,0
434700,283.15,0
435600,283.15,0
436500,283.15,0
437400,283.15,0
438300,283.15,0
439200,283.15,0
440100,283.15,0
441000,283.15,0
441900,283.15,0
442800,283.15,0
443700,283.15,0
444600,283.15,0
445500,283.15,0
446400,283.15,0
447300,283.15,0
448200,283.15,0
449100,283.15,0
450000,283.15,0
450900,283.15,0
451800,283.15,0
452700,283.15,0
453600,283.15,0
454500,283.15,0
455400,283.15,0
456300,283.15,0
457200,300.15,0.056666667
458100,283.15,0
459000,286.15,0.01
459900,283.15,0
460800,286.15,0.01
461700,286.15,0.01
462600,286.15,0.01
463500,286.15,0.01
464400,286.15,0.01
465300,283.15,0
466200,286.15,0.01
467100,283.15,0
468000,283.15,0
468900,283.15,0
469800,285.15,0.003333333
470700,283.15,0
