Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
698400,0,0,280.05,0
702000,0,0,279.45,0
705600,0,0,280.15,0
709200,0,0,279.95,0
712800,0,0,279.95,0
716400,0,0,280.65,0
720000,0,1842.7649,281.25,0.14583333
723600,0,5362.453,280.25,5.5897436
727200,0,5824.421,280.85,22.311298
730800,0,5562.0596,281.05,31.351563
734400,0,5613.742,279.75,34.46406
738000,0,6176.0723,279.15,40.309376
741600,0,6373.6807,278.35,34.737217
745200,0,5859.0596,277.55,14.490909
748800,0,5389.3477,277.25,2.6
752400,0,5515.65,276.95,0
756000,0,6216.13,276.45,0
759600,0,7546.916,276.15,0
763200,0,8485.1,275.95,0
766800,0,8845.822,275.75,0
770400,0,1960.042,274.75,0
774000,0,0,274.45,0
777600,0,0,274.75,0
781200,0,0,274.65,0
784800,0,0,275.15,0
788400,0,0,275.25,0
792000,0,0,275.25,0
795600,0,0,275.35,0
799200,0,0,275.25,0
802800,0,0,274.15,0
806400,0,4118.3384,272.75,0.6927083
810000,0,8503.654,272.35,58.920387
813600,0,7332.562,274.35,147.7619
817200,0,5596.453,276.05,223.7439
820800,0,4429.7847,277.55,248.8716
824400,0,4046.075,277.15,230.8095
828000,0,3411.3423,278.15,173.90202
831600,0,2687.3223,277.15,83.68687
835200,0,3280.1272,276.05,8.611111
838800,0,4112.726,273.75,0
842400,0,5274.386,272.35,0
846000,0,6709.2744,272.45,0
849600,0,7726.3047,271.55,0
853200,0,8078.428,271.95,0
856800,0,1096.1989,270.75,0
860400,0,0,270.55,0
864000,0,0,270.65,0
867600,0,0,270.55,0
871200,0,0,270.35,0
874800,0,0,270.35,0
878400,0,0,270.35,0
882000,0,0,270.85,0
885600,0,0,270.75,0
889200,0,0,271.55,0
892800,0,2901.3938,272.45,2.5735295
896400,0,6918.1787,272.75,30.219025
900000,0,7208.705,273.05,62.914894
903600,0,6854.9487,273.65,74.29256
907200,0,6430.0137,274.35,63.041668
910800,0,6297.9214,274.45,47.01716
914400,0,6165.4907,274.65,34.632355
918000,0,5701.4297,275.05,16.858824
921600,0,5276.8345,275.45,1.45
925200,0,5069.753,275.25,0
928800,0,5124.475,275.25,0
932400,0,6028.2183,274.95,0
936000,0,6839.094,274.95,0
939600,0,7120.941,275.05,0
943200,0,0,275.35,0
946800,0,0,275.25,0
950400,0,0,275.65,0
954000,0,0,276.15,0
957600,0,0,276.35,0
961200,0,0,276.55,0
964800,0,0,276.95,0
968400,0,0,276.65,0
972000,0,0,277.05,0
975600,0,0,276.95,0
979200,0,2383.26,276.45,0.7
982800,0,6280.6714,276.15,24.40241
986400,0,6617.1274,276.35,69.98437
990000,0,6001.911,276.75,146.1888
993600,0,4897.0635,277.65,196.2266
997200,0,4516.453,277.95,151.97041
1000800,0,4526.7563,277.65,97.04907
1004400,0,4349.999,277.45,38.439903
1008000,0,4263.78,277.15,0
1011600,0,4336.3247,276.75,0
1015200,0,4695.3433,276.25,0
1018800,0,5790.7017,276.15,0
1022400,0,6660.602,276.15,0
1026000,0,6968.56,276.35,0
1029600,0,0,276.45,0
1033200,0,0,276.45,0
1036800,0,0,276.05,0
1040400,0,0,276.05,0
1044000,0,0,276.15,0
1047600,0,0,276.35,0
1051200,0,0,276.45,0
1054800,0,0,276.75,0
1058400,0,0,277.05,0
1062000,0,0,277.45,0
1065600,0,3738.895,277.65,1.882353
1069200,0,7549.1025,277.75,21.214237
1072800,0,7250.1904,277.85,44.33104
1076400,0,6591.3823,277.95,60.94737
1080000,0,6206.181,278.05,71.85714
1083600,0,6184.14,278.25,72.29803
1087200,0,6013.8706,278.55,47.457073
1090800,0,5477.736,278.55,13.620709
1094400,0,5055.3804,278.35,1.3920455
1098000,0,5021.548,278.05,0
1101600,0,5356.0063,277.95,0
1105200,0,5556.7856,278.05,0
1108800,0,5489.5425,278.05,0
1112400,0,6336.4277,278.15,0
1116000,0,0,278.35,0
1119600,0,0,279.65,0
1123200,0,0,281.55,0
